Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,2800.0,2810.0,2742.0,2756.35009765625,2674.421142578125,19632
2018-09-25,2752.0,2799.0,2729.60009765625,2787.949951171875,2705.081787109375,19422
2018-09-26,2802.550048828125,2807.0,2745.75,2775.699951171875,2693.19580078125,19116
2018-09-27,2775.699951171875,2823.39990234375,2759.10009765625,2782.5,2699.793701171875,21230
2018-09-28,2824.0,2824.0,2638.0,2687.10009765625,2607.2294921875,41229
2018-10-01,2700.0,2745.0,2621.550048828125,2729.75,2648.61181640625,38020
2018-10-03,2760.0,2765.0,2705.0,2733.199951171875,2651.959228515625,29915
2018-10-04,2691.050048828125,2719.449951171875,2601.0,2650.050048828125,2571.28076171875,34998
2018-10-05,2635.0,2636.14990234375,2528.0,2544.75,2469.110595703125,53320
2018-10-08,2528.0,2617.0,2500.0,2591.39990234375,2514.373779296875,42227
2018-10-09,2600.0,2600.0,2530.199951171875,2543.449951171875,2467.84912109375,28680
2018-10-10,2564.699951171875,2626.60009765625,2564.699951171875,2582.0,2505.25341796875,45181
2018-10-11,2555.0,2555.0,2507.89990234375,2524.14990234375,2449.122802734375,54321
2018-10-12,2549.800048828125,2649.89990234375,2531.050048828125,2628.60009765625,2550.46826171875,65801
2018-10-15,2631.0,2646.10009765625,2577.0,2625.199951171875,2547.169189453125,34984
2018-10-16,2620.0,2648.0,2606.0,2611.14990234375,2533.536865234375,36253
2018-10-17,2658.0,2658.0,2536.10009765625,2548.050048828125,2472.3125,37906
2018-10-19,2549.0,2549.0,2479.5,2510.14990234375,2435.5390625,58472
2018-10-22,2520.0,2574.89990234375,2496.89990234375,2556.800048828125,2480.802490234375,28296
2018-10-23,2548.89990234375,2599.89990234375,2510.0,2586.39990234375,2509.5224609375,16723
2018-10-24,2608.949951171875,2615.0,2460.0,2475.300048828125,2401.724853515625,87530
2018-10-25,2455.0,2493.25,2425.0,2477.5,2403.859619140625,38740
2018-10-26,2489.0,2529.949951171875,2446.5,2505.550048828125,2431.075927734375,66328
2018-10-29,2524.0,2554.0,2476.5,2542.199951171875,2466.636474609375,28675
2018-10-30,2555.0,2582.0,2538.449951171875,2554.300048828125,2478.376708984375,20696
2018-10-31,2555.0,2615.35009765625,2487.550048828125,2591.449951171875,2514.42236328125,29864
2018-11-01,2620.0,2620.0,2569.550048828125,2596.10009765625,2518.934326171875,22910
2018-11-02,2620.0,2702.64990234375,2615.0,2656.050048828125,2577.102294921875,57119
2018-11-05,2680.0,2709.0,2625.0,2674.25,2594.761474609375,29663
2018-11-06,2674.25,2699.0,2656.0,2668.0,2588.697265625,22215
2018-11-07,2697.0,2700.0,2684.800048828125,2693.0,2612.9541015625,2482
2018-11-09,2692.699951171875,2744.75,2658.0,2695.64990234375,2615.525146484375,29795
2018-11-12,2725.0,2725.0,2636.300048828125,2647.0,2568.3212890625,18239
2018-11-13,2650.0,2670.0,2615.050048828125,2663.35009765625,2584.185546875,23173
2018-11-14,2659.0,2713.0,2654.75,2681.699951171875,2601.989990234375,15711
2018-11-15,2681.0,2698.5,2662.5,2671.300048828125,2591.899169921875,13739
2018-11-16,2672.5,2705.0,2672.39990234375,2696.800048828125,2616.64111328125,15012
2018-11-19,2702.14990234375,2708.449951171875,2671.699951171875,2683.050048828125,2603.2998046875,10112
2018-11-20,2675.0,2676.39990234375,2655.050048828125,2664.10009765625,2584.9130859375,10842
2018-11-21,2666.5,2671.449951171875,2591.0,2603.60009765625,2526.21142578125,32391
2018-11-22,2604.89990234375,2635.199951171875,2577.60009765625,2594.10009765625,2516.993896484375,26728
2018-11-26,2609.550048828125,2661.14990234375,2573.449951171875,2652.0,2573.1728515625,30074
2018-11-27,2647.0,2647.0,2573.0,2598.60009765625,2521.360107421875,32571
2018-11-28,2627.39990234375,2627.39990234375,2584.449951171875,2603.199951171875,2525.8232421875,17687
2018-11-29,2620.0,2734.199951171875,2603.199951171875,2725.050048828125,2644.051513671875,48170
2018-11-30,2720.0,2769.449951171875,2703.10009765625,2736.800048828125,2655.4521484375,49544
2018-12-03,2752.0,2763.0,2716.0,2734.85009765625,2653.560302734375,29283
2018-12-04,2750.0,2789.0,2726.050048828125,2764.699951171875,2682.52294921875,31474
2018-12-05,2745.050048828125,2775.0,2733.85009765625,2761.89990234375,2679.805908203125,21689
2018-12-06,2740.0,2795.75,2702.550048828125,2719.050048828125,2638.229736328125,31466
2018-12-07,2720.0,2790.0,2718.14990234375,2779.75,2697.12548828125,28737
2018-12-10,2724.0,2767.39990234375,2710.199951171875,2722.0,2641.092041015625,25212
2018-12-11,2722.89990234375,2759.0,2688.0,2745.800048828125,2664.184814453125,26611
2018-12-12,2760.0,2859.0,2742.64990234375,2847.300048828125,2762.667724609375,151837
2018-12-13,2869.800048828125,2884.449951171875,2823.050048828125,2836.0,2751.70361328125,36912
2018-12-14,2838.0,2838.0,2788.0,2824.699951171875,2740.739501953125,25577
2018-12-17,2830.0,2850.0,2830.0,2840.949951171875,2756.50634765625,13987
2018-12-18,2841.699951171875,2873.39990234375,2824.199951171875,2841.0,2756.554931640625,24562
